Area,Frequency
1764,6
1224,5
1540,5
1938,5
513,4
1050,4
858,4
10080,4
2052,3
8112,3
4608,3
1508,3
1235,3
3864,3
3780,3
4732,3
2880,3
936,3
11232,3
3848,3
1056,3
896,3
440,3
756,3
2760,3
1368,3
1080,3
814,3
1672,3
1892,3
700,3
1188,3
1755,3
8100,3
4760,3
1276,3
558,3
1674,3
864,3
4292,3
510,3
819,3
1380,3
646,3
676,3
3008,3
1053,3
2090,3
810,2
4640,2
21867,2
616,2
7524,2
1404,2
1640,2
7626,2
2208,2
770,2
1012,2
624,2
2905,2
960,2
25480,2
3564,2
2028,2
1870,2
2660,2
705,2
1105,2
420,2
948,2
1792,2
4144,2
946,2
3360,2
1739,2
2436,2
4224,2
7189,2
480,2
988,2
2400,2
11475,2
62400,2
16896,2
1121,2
13485,2
910,2
27118,2
1098,2
2280,2
627,2
4305,2
3243,2
2013,2
2380,2
2599,2
364,2
1500,2
2120,2
3599,2
8190,2
1088,2
2185,2
720,2
8268,2
4814,2
1107,2
1520,2
2050,2
12150,2
2268,2
1196,2
3420,2
2144,2
7488,2
1330,2
4288,2
2600,2
378,2
1716,2
4884,2
432,2
455,2
1482,2
3840,2
820,2
1720,2
260,2
7821,2
5670,2
448,2
2346,2
893,2
26243,2
3570,2
35778,2
4050,2
7280,2
4200,2
4800,2
336,2
2583,2
1496,2
1584,2
874,2
459,2
1984,2
2752,2
1836,2
1518,2
1025,2
884,2
697,2
1575,2
672,2
1785,2
3795,2
13260,2
630,2
1577,2
1400,2
4690,2
7140,2
7448,2
3000,2
798,2
4278,2
4030,2
1740,2
1184,2
1995,2
3696,2
560,2
1472,2
1564,2
777,2
11712,2
1120,2
2378,2
2706,2
324,2
3150,2
2310,2
540,2
576,2
47320,2
1445,2
3528,2
2684,2
6958,2
1035,2
1848,2
500,2
1660,2
957,2
3752,2
1710,2
119808,1
3289,1
21720,1
3185,1
5355,1
11205,1
28459,1
6097,1
9682,1
4116,1
7832,1
24570,1
465,1
14924,1
8928,1
38766,1
544,1
45787,1
34176,1
1456,1
4776,1
9185,1
25536,1
860,1
8046,1
6893,1
6161,1
5329,1
2065,1
247,1
6968,1
18492,1
158316,1
17388,1
11088,1
66375,1
10956,1
3640,1
667,1
12714,1
3200,1
1978,1
4379,1
27750,1
10989,1
33060,1
22648,1
11210,1
74572,1
451,1
52272,1
89438,1
1218,1
1780,1
4984,1
845,1
12642,1
3127,1
50760,1
1071,1
6408,1
57343,1
7475,1
34290,1
5016,1
4118,1
3800,1
6177,1
3197,1
2813,1
2397,1
2450,1
994,1
1032,1
79300,1
20016,1
42946,1
3816,1
1976,1
4294,1
4700,1
13080,1
79728,1
2496,1
43681,1
2304,1
7775,1
2550,1
7614,1
66740,1
2765,1
2613,1
4692,1
1140,1
984,1
803,1
2212,1
72556,1
36660,1
2442,1
4875,1
3861,1
17324,1
45695,1
826,1
33887,1
37674,1
9956,1
1326,1
4872,1
266,1
2200,1
1209,1
38391,1
14980,1
28356,1
234,1
24472,1
4355,1
53460,1
3927,1
10260,1
7540,1
10027,1
20592,1
70135,1
82236,1
5015,1
7410,1
11016,1
100352,1
3192,1
3450,1
16626,1
702,1
1919,1
18424,1
30940,1
8814,1
24804,1
41919,1
4576,1
18768,1
22946,1
26064,1
6820,1
47940,1
75750,1
41109,1
1170,1
24288,1
12640,1
2645,1
30590,1
31610,1
28268,1
5520,1
406,1
19521,1
2006,1
42966,1
2884,1
62677,1
13780,1
1998,1
32218,1
24220,1
26522,1
2250,1
2034,1
41040,1
1512,1
1288,1
32452,1
85446,1
8632,1
46605,1
1156,1
1820,1
68120,1
40590,1
2430,1
115712,1
20925,1
1890,1
6318,1
2072,1
3852,1
9120,1
3610,1
2772,1
24955,1
8374,1
1302,1
2054,1
2128,1
780,1
4524,1
83517,1
52961,1
9360,1
83776,1
708,1
65205,1
55080,1
696,1
85680,1
4730,1
39044,1
703,1
20832,1
101094,1
91744,1
1485,1
2205,1
3395,1
16443,1
18480,1
1530,1
1474,1
5796,1
42200,1
41934,1
990,1
20514,1
9860,1
6834,1
99462,1
74200,1
15159,1
8028,1
32696,1
6615,1
2091,1
689,1
6490,1
8236,1
9308,1
41820,1
37908,1
3922,1
8319,1
24021,1
3162,1
13137,1
16368,1
44390,1
742,1
16432,1
78840,1
58968,1
306,1
45582,1
7095,1
3444,1
490,1
15364,1
212992,1
54080,1
7592,1
90694,1
36676,1
75933,1
6897,1
1034,1
55929,1
270,1
105664,1
3149,1
8232,1
14148,1
228,1
4216,1
87720,1
12144,1
33293,1
6372,1
15366,1
2652,1
952,1
2277,1
7084,1
5289,1
2809,1
108544,1
28602,1
54390,1
10780,1
9215,1
1560,1
989,1
4220,1
4424,1
11718,1
23086,1
40362,1
4485,1
42816,1
3718,1
12851,1
21733,1
1060,1
1175,1
13940,1
2482,1
1957,1
4592,1
7029,1
5220,1
1505,1
36936,1
49206,1
6762,1
5712,1
3486,1
52364,1
59124,1
2542,1
2806,1
1280,1
1357,1
125160,1
6248,1
15604,1
89595,1
38456,1
8395,1
60291,1
2938,1
66665,1
31122,1
8280,1
5644,1
46116,1
4536,1
5103,1
4370,1
9982,1
2040,1
363,1
414,1
5624,1
42372,1
3960,1
4970,1
2301,1
2240,1
2046,1
6976,1
5325,1
21228,1
10166,1
10058,1
39840,1
9963,1
10764,1
5415,1
605,1
828,1
92199,1
1519,1
68670,1
6006,1
3645,1
13160,1
2900,1
744,1
11583,1
3321,1
2911,1
6230,1
4234,1
4004,1
2805,1
48840,1
2756,1
9540,1
50112,1
608,1
6136,1
504,1
13524,1
4324,1
8500,1
33578,1
1694,1
