Area,Frequency
528,5
1944,4
5244,4
2048,4
736,3
442,3
1254,3
1900,3
2304,3
270,3
2160,3
1584,3
608,3
486,3
1200,3
168,3
960,3
1872,3
306,3
4182,3
2376,3
4920,3
1740,3
1320,3
896,3
720,3
1040,3
416,3
2542,3
1664,3
560,3
864,3
1242,3
640,3
5760,3
770,3
1575,3
4575,2
3102,2
1368,2
6699,2
378,2
1554,2
840,2
714,2
1088,2
1488,2
1095,2
2976,2
630,2
624,2
299,2
4560,2
980,2
1092,2
1350,2
1586,2
2679,2
2475,2
1148,2
14040,2
21574,2
2553,2
4158,2
1848,2
1560,2
986,2
812,2
9243,2
2856,2
1643,2
204,2
880,2
4740,2
2142,2
1482,2
1701,2
952,2
805,2
2520,2
12240,2
888,2
2310,2
11186,2
1166,2
748,2
2162,2
198,2
1089,2
2340,2
9782,2
1015,2
7440,2
1602,2
1100,2
1568,2
4592,2
1188,2
924,2
2325,2
475,2
1280,2
1496,2
1404,2
15456,2
600,2
592,2
390,2
3116,2
3780,2
1520,2
1596,2
13464,2
4536,2
1340,2
702,2
2303,2
2600,2
1209,2
3168,2
504,2
5742,2
27776,2
1920,2
17136,2
1326,2
2840,2
1971,2
510,2
3465,2
3600,2
1104,2
1995,2
2380,2
5016,2
858,2
2666,2
414,2
8856,2
800,2
8370,2
2240,2
1656,2
1776,2
3220,2
1805,2
2261,2
1590,2
962,2
5472,2
3510,2
9102,2
351,2
3250,2
11232,2
2880,2
1344,2
9516,2
2256,2
9500,2
774,2
2882,2
5508,2
945,2
12000,2
11484,2
1152,2
2440,2
1989,2
2100,2
1240,2
660,2
1887,2
3807,2
1224,2
1782,2
1786,2
1443,2
38412,2
520,2
13104,2
1824,2
3504,2
700,2
3300,2
4410,2
5775,2
928,2
799,2
1846,2
891,2
3066,2
450,2
2625,2
988,2
2065,2
330,2
576,2
1440,2
3150,2
969,2
2108,2
833,1
1600,1
107000,1
24675,1
1666,1
14200,1
1000,1
2964,1
12035,1
31871,1
5324,1
7850,1
9894,1
2610,1
708,1
1914,1
12519,1
2774,1
852,1
24764,1
1856,1
3888,1
74592,1
4147,1
3740,1
19285,1
6750,1
5080,1
7776,1
33456,1
41132,1
14626,1
1464,1
48125,1
63063,1
6336,1
7065,1
13203,1
3384,1
3160,1
4524,1
10230,1
28294,1
7392,1
2484,1
2286,1
2486,1
27946,1
55198,1
12144,1
2511,1
49490,1
399,1
22152,1
572,1
76146,1
340,1
27792,1
17673,1
651,1
4293,1
9320,1
37056,1
6384,1
29154,1
9933,1
20670,1
27378,1
51086,1
46191,1
40000,1
8375,1
42636,1
680,1
6975,1
3140,1
1886,1
64938,1
1178,1
4756,1
3008,1
3434,1
4416,1
26035,1
1552,1
4600,1
65790,1
20685,1
2618,1
7380,1
10080,1
43945,1
72828,1
2850,1
58240,1
14499,1
12852,1
56854,1
27880,1
88051,1
5112,1
30876,1
3477,1
25085,1
4620,1
5780,1
29210,1
1612,1
40800,1
10270,1
6254,1
12375,1
49880,1
7138,1
9338,1
74240,1
7740,1
9847,1
86016,1
139612,1
3542,1
68750,1
6402,1
5945,1
75096,1
60928,1
2250,1
744,1
682,1
29892,1
3705,1
14916,1
1672,1
54720,1
4284,1
29670,1
27738,1
7659,1
4050,1
1316,1
13916,1
83210,1
5618,1
28832,1
12075,1
7728,1
836,1
73814,1
7140,1
7650,1
7055,1
1032,1
93296,1
80276,1
5211,1
1122,1
1961,1
420,1
15369,1
39035,1
14544,1
30384,1
1105,1
14350,1
1512,1
9452,1
6148,1
5143,1
31684,1
36465,1
22952,1
140256,1
13407,1
11700,1
27632,1
21094,1
4250,1
1360,1
22078,1
18200,1
5525,1
96400,1
2352,1
1176,1
871,1
234,1
16748,1
77760,1
64116,1
5146,1
936,1
2324,1
1121,1
20461,1
806,1
3850,1
65040,1
5976,1
35738,1
1416,1
688,1
24934,1
13338,1
64935,1
9720,1
561,1
58035,1
5432,1
45900,1
11564,1
15982,1
4975,1
40077,1
21090,1
172042,1
13596,1
1746,1
101376,1
5151,1
8479,1
704,1
3393,1
29580,1
69360,1
10070,1
3145,1
16440,1
24975,1
12285,1
51051,1
3577,1
2432,1
875,1
3355,1
2592,1
2322,1
76752,1
3051,1
6136,1
1365,1
1890,1
4690,1
2664,1
2211,1
12741,1
1881,1
266,1
42688,1
31768,1
